,Topics,Authors,Date,Description
18,"Design and development of a single channel RSNS direction finder 
","Benveniste, Jessica A.",2009-03,This thesis carried out the design and development of a single channel Robust Symmetrical Number System (RSNS) virtual spacing direction finding (DF) system. This was based on previous work on a three-channel RSNS virtual ...
19,"U.S. Navy: a history of stagnation and innovation 
","Coyle, Benjiman D.",2014-09,"This thesis examines four periods of the U.S.Navy's history, each following a major conflict that perpetuated a decline in institutional and strategic focus, and then ending in a rebirth of innovation. The object is to ..."
20,"A systems engineering approach to allocate resources between protection and sensors for ground systems for offensive operations in an urban environment 
","Foo, Ceying",2014-09,"This thesis describes the effects of using unconventional armor, such as explosive reactive armor, active protection systems, signature management measures, and additional sensing capability in the form of an unmanned ..."
21,"United States commercial shipbuilding productivity: an international view 
","Cummiskey, Joseph W.",1990-12,"This thesis examines American shipyard productivity. An attempt
is made to measure changes in U.S. shipbuilding productivity to ascertain if U.S. yards are improving their position
relative to their competitors. An ..."
22,"The evaluation of post-exposure prophylaxis models for use in the event of an aerosolized anthrax attack 
","Chervon, Lisa M.",2014-09,The Strategic National Stockpile (SNS) can deliver large quantities of medications and medical supplies to anywhere in the United States and its territories within 12 hours of the federal decision to deploy. As an additional ...
23,"An analysis of the Ticonderoga Class Guided Missile  Cruisers 1B1B account 
","Johnson, Brian M.; Finlay, Jeff A.; Edmonds, Martin L.",2008-12,The purpose of this MBA Project is to review the current budgeting model and existing ship's Operating  Target (OPTAR) data for fiscal year (FY) 2006 and 2007. The scope of analysis is limited to the Ticonderoga Class  ...
24,"Potential logistics cost savings from engine commonality 
","Henderson, Robert L.; Higer, Matthew W.",2007-12,The purpose of this MBA Project is to determine potential logistics cost savings the USAF and DoD could have  realized through the life of the F-16 fighter aircraft had they required engine commonality from the two engine ...
25,"Exploration of integrated visible to near-, shortwave-, and longwave-infrared (full-range) spectral analysis 
","Cone, Shelli R.",2014-09,"Visible to near-, shortwave-, and longwave-infrared (VNIR, SWIR, LWIR) remote sensing data are typically analyzed in their individual wavelength regions, even though theory suggests combined use would emphasize complementary ..."
26,"Survivability design of ground systems for area defense operation in an urban scenario 
","Goh, Wei Jun",2014-09,This thesis applies a systems engineering approach to determine significant ground system design factors that impact the mission objectives of an urban area defense operation. The shift in conventional warfare to urban ...
27,"Building Team Belay 
","Bernstein, Catherine P.",2014-09,"Disaster responders are exposed to continuous periods of intense stress, and as a consequence, some suffer mental or emotional adverse effects. In recognition of critical stress as a valid concern, many emergency service ..."
28,"Assessing the effects of multi-node sensor network configurations on the operational tempo 
","Coleman, William M.",2014-09,The LPISimNet software tool provides the capability to quantify the performance of sensor network configurations by combining the information and physical domains. To combine the sensor network’s performance in a coherent ...
29,"Atomic Army: the roles of the U.S. Army in America's nuclear endeavors 
","Womack, Seth M.",2014-09,"This thesis examines the roles of the U.S. Army in America’s nuclear undertakings. Since 1942, when the Army took responsibility for managing the Manhattan Project, the Army has made many important contributions to America’s ..."
30,"Applying deterrence strategy to agents of asymmetrical threats 
","Ward, Christopher",2014-09,"Deterrence was quickly dismissed as a possible counterterrorism (CT) strategy after 9/11. With temporal distance from the impact, however, the concept has been given a fresh, in-depth look. The encouraging results brought ..."
31,"Should we stay or should we go now? the physical, economic, geopolitical, social and psychological factors of recovery from catastrophic disaster 
","Perino, Charles S.",2014-09,"Should we continue to build there? is a question asked after other past disasters; it is especially more poignant as local, state and federal governments deal with pre-disaster mitigation funding and post-disaster emergency ..."
32,"Pulling the religious trigger: Iran's end-times beliefs and divine justifications for potential action against the United States 
","Moody, Jamison B.",2014-09,The 1979 Islamic Revolution in Iran has significantly shaped and impacted developments in the Near and Middle East and inspired the regional rise of Shia Islam. Iran's Islamic government has consistently played a leading ...
33,"Logistics supply of the distributed air wing 
","Ong, Chee Siong",2014-09,"The use of the aircraft carrier has been the norm for delivering sizable amounts of air power swiftly to any part of the world. A capstone project, conducted by the system engineering curriculum, proposed to distribute the ..."
34,"The consequences to national security of jurisdictional gray areas between emergency management and homeland security 
","Pearson, Edward M.",2014-09,"The September 11, 2001, terrorist attack on United States (U.S.) soil memorialized as 9/11 served as the catalyst for major reforms in the federal government. Twenty-two agencies combined to form the Department of Homeland ..."
35,"Information sharing from 9-1-1 centers 
","Simpson, Carl P.",2014-09,"Public safety first responders deal with life and death emergencies, natural disasters, school shootings, trauma created by lone shooters and major events, yet have not enabled members from the private sector, business ..."
36,"Converting a manned LCU into an unmanned surface vehicle (USV): an open systems architecture (OSA) case study 
","Smith, Montrell F.",2014-09,This thesis demonstrates the process by which the concepts of open systems architecture (OSA) might be applied within the context of an existing systems engineering methodology to result in a flexible system. This is ...
37,"Immigration adjudication reform: the case for automation 
","Sanford, Abigail J.",2014-09,"A bill that has passed the United States Senate, S. 744, proposes a Lawful Prospective Immigrant (LPI) status and a path to Citizenship for an estimated 11–12 million undocumented immigrants in the United States. United ..."
38,"The cold gas-dynamic spray and characterization of microcrystalline austenitic stainless steel 
","Schiel, Jonathan F.",2014-09,This thesis presents research on the cold gas-dynamic spray process applied to the deposition of stainless steel coatings. Cold spray deposition is a relatively new process utilized to create corrosion protection coatings ...
39,"Navigation system design and state estimation for a small rigid hull inflatable boat (RHIB) 
","Terjesen, Steven",2014-09,"Autonomous operation of a small rigid hull inflatable boat (RHIB) is a complex problem that requires a robust network of sensors, controllers, processors, and actuators. Furthermore, autonomous navigation requires accurate ..."
40,"Applying systems engineering methodologies to the creative process 
","Stone, Adam H.",2014-09,"The application of systems engineering methodologies to the creative process provides opportunities to improve the creative capabilities of individuals and organizations. Through creativity and systems engineering research, ..."
41,"Agent-based model and system dynamics model for peace-keeping operations 
","Tan, HockWoo",2014-09,"Military operations other than war (MOOTW) make up a large percentage of total military operations. Some common MOOTW operations are peacekeeping (PKO) and humanitarian assistance, and disaster relief (HADR). System dynamics ..."
42,"Optimal estimation of glider's underwater trajectory with depth-dependent correction using the Navy Coastal Ocean Model with application to antisubmarine warfare 
","Shim, JooEon",2014-09,An underwater glider is a cost-effective underwater unmanned vehicle with high-endurance for oceanographic research or naval applications. Its navigation and localization accuracy are important because these accuracies ...
43,"Transient dynamic response and failure of composite structure under cyclic loading with fluid structure interaction 
","Teo, Hui Fen",2014-09,"With the growing interest in using composites in naval shipbuilding, it is crucial to understand the behavior of structures, especially the Fluid Structural Interaction (FSI) aspect of the composites under dynamic loading, ..."
44,"Countering terrorism through control of Pakistan's information environment 
","Rafiq, Muhammad Ahsen; Raza, Mohsin",2014-09,"Pakistan has a peculiar information environment that has not been researched in detail. The dynamics of the information environment have changed in urban areas due to technological advancements; however, the rural areas ..."
45,"Handheld assistant for military and police patrols 
","Seipel, Patrick J.",2014-09,"Military and police patrols are an important component of combat operations, counter insurgency, peacekeeping, disaster relief, and humanitarian assistance missions. These patrols need to access timely, relevant information ..."
46,"A modular simulation framework for assessing swarm search models 
","Wanier, Blake M.",2014-09,The ability to utilize large numbers of unmanned systems as search agents allows the implementation of different search strategies that are not currently explored utilizing today’s search decision support and analysis ...
47,"Effects of sensing capability on ground platform survivability during ground forces maneuver operations 
","Tng, Chung Siong",2014-09,: The purpose of this thesis is to investigate the effects of sensing capability on ground platform survivability during ground force maneuver operations. Sensor classification probability of ground platforms and speed of ...
48,"Analysis of Turkish communications sector and determination of critical success factors 
","Tepetam, Yavuz",2014-09,Turkey is a developing country that aims at becoming a developed country within the next few decades. The information and communications sector is one of the key elements for the development of a country as communication ...
49,"Leveraging manet and mobile devices in ship-to-objective maneuver and expeditionary MAGTF operations 
","Waddell, Joshua C.",2014-09,"This thesis examines the challenges, specifically in regard to tactical C2 in austere conditions, to the Enhanced MAGTF Operations (EMO) concepts being developed by theMarine Corps. EMO hinges on the ability of company ..."
50,"Simulation of hydrodynamic ram phenomenon using MSC Dytran 
","Yang, Kangjie Roy",2014-09,Hydrodynamic ram (HRAM) refers to the damage process due to high pressures generated when a high-velocity projectile penetrates a compartment or vessel containing a fluid. A Finite Element model was developed using MSC ...
51,"Dynamics of abusive IPv6 networks 
","Turner, Mark J.",2014-09,"The exhaustion of available public IPv4 addresses has had a significant impact in an expanding, networked world and has led to increased adoption of IPv6. As IPv6 becomes more commonplace, it permits abusive and malicious ..."
52,"An optical method for measuring injection timing in diesel engines, using a single port 
","Wyman, Sandra J.",2014-09,"This thesis is the design of a laser-induced fluorescence technique for use in the characterization of the fuel injection delay of various fuels, due to differences in bulk modulus. The technique is designed to work with ..."
53,"Shipboard calibration network extension utilizing COTS products 
","Tan, Min Yan",2014-09,The feasibility of a concept of operation to reduce the manpower required during shipboard sensor calibration is investigated in this thesis. The proposed calibration process takes into consideration security concerns and ...
54,"Live, virtual, and constructive-training environment: a vision and strategy for the Marine Corps 
","Mills, Barron",2014-09,"TheMarine Corps is developing the Live, Virtual, and Constructive–Training Environment (LVC-TE) program without a full vision and strategy. Without a properly developed vision and strategy, theMarine Corps will likely ..."
55,"Re-imagining the American community: myth, metaphor, and narrative in national security 
","Shevin, Michelle G.",2014-09,"In 2011, two defense strategists premiered their argument for a new national strategic narrative. Geared toward national security but intended to guide policymaking across government, this narrative has yet to receive ..."
56,"Hindu-Muslim violence in India: a national- and state-level study 
","Ortega, Christina E.",2014-09,Hindu-Muslim violence has plagued India for centuries. Deaths caused by Hindu-Muslim violence constitute a small proportion of the Indian population; therefore the historical precedence and incendiary nature of this violence ...
57,"Extending tactical fleet communications through VoIP 
","Scott, David T.",2014-09,"TheNavy's Fleet is in need of tactical voice communication systems that are highly reliable, protected from cyber threats, and able to operate in a denied or degraded environment. Many of theNavy's current systems rely on ..."
58,"Incorporating trust into Department of Defense acquisition risk management 
","Reighard, Daniel K., II",2014-09,Risk management has been proven to be a valuable tool to identify and mitigate risks early in the program life-cycle. Modernization and communication advances have recently changed the commercial economy from national to ...
59,"Quantifying the effectiveness of crowd-sourced serious games 
","Tellioglu, Umit",2014-09,"Crowd-sourced serious games (CSSGs) represent an emerging genre of games. Different from traditional games, the primary concern of the CSSGs is not player enjoyment, but contributing to difficult scientific problems or ..."
60,"Using Cloudat and the A-Train to estimate tropical cyclone intensity in the western North Pacific 
","Seibold, Jeffrey K.",2014-09,"CloudSat joined the A-Train constellation in June 2006 to enhance the understanding of the global heat budget by providing measurements of cloud properties on a global scale, and provide the first statistics on the vertical ..."
61,"The effects of system dynamics modeling on systems thinking in the context of regional strategic planning 
","Porter, Norman Wayne",2014-09,This action research case study was intended to qualitatively determine how system thinking and system dynamics modeling informed regional strategic planning and to derive a grounded theory based upon data collected during ...
62,"Preventing pirates from boarding commercial vessels - a systems approach 
","Cabungcal, Juan; Kaniss, David; Laing, Chris; Mastran, Keith; Powell, Jason; Quijano, Nathaniel; Rosenberg, Eric; Walsh, Greg; Team Pirates; Cohort 311-111A4 and 311–131A",2014-09,"Piracy represents a serious threat to modern maritime traffic, causing significant financial losses as well as loss of life. The system’s proposed area of operation is the waters of Indonesia, as current antipiracy solutions ..."
63,"Assessment of vision-based target detection and classification solutions using an indoor aerial robot 
","Ramos, Nicole R.",2014-09,"The role of unmanned aerial vehicles (UAVs) in military, commercial and recreational applications is continuously evolving as devel-opments in technology increase capabilities. The research herein presents an inexpensive ..."
64,"Russian policies on strategic missile defense and nuclear arms control: a realist interpretation 
","Talamantez, Kendrick V.",2014-09,"Over the past decade, Russia’s reemergence on the international stage has been accompanied by a more aggressive foreign policy agenda. This confrontational Russian behavior lends itself to the conduct of a case study of ..."
65,"Implementation of an optical readout system for high-sensitivity terahertz microelectromechanical sensor array 
","Toh, Edwin",2014-09,"In this thesis, an optical readout scheme was successfully developed based on the Fourier 4F optical configuration and integrated with a custom-fabricated microelectromechanical system (MEMS)-based, terahertz (THz), detector ..."
66,"Opaque communities: a framework for assessing potential homeland security threats from voids on the map 
","Speer, Matthew E.",2014-09,"Opaque communities confound homeland security situational awareness and integration efforts, which generates pervasive threat perceptions that have often escalated into governmental interventions and violent confrontations. ..."
67,"Structural response of marine sandwich panels to uniform pressure loading. 
","Huss, J. Rowland.",1990,no description
68,"Energy recovery in the reverse osmosis process. 
","Armstrong, Robert John.",1974,no description
69,"The effectiveness of counterterrorist policies in Uzbekistan 
","Dambrauskas, Valdas",2012-12,This thesis analyzes the effectiveness of Uzbekistans counterterrorist policies during the period of 19902012. It overviews the development of radical Islamism in Uzbekistan and evaluates the remaining terrorist threats. ...
70,"Performance and reliability of exhaust gas waste heat recovery units 
","Koh, Chuan Heng Erik",2014-09,"This thesis presents the effect of exhaust tube length-to-diameter (L/d) ratio, jacket-to-tube diameter (D/d) ratio, coolant inlet and outlet placements, exhaust gas swirling conditions, and tube materials (steel, copper, ..."
71,"Outlining a framework for the use of ICT in disaster management 
","Koch, Alexander",2014-09,"Disaster relief operations are characterized by chaos and devastation and, therefore, a lack of information and reduced situational awareness. Information and communication technologies (ICT) promise a way to distribute ..."
72,"Value of forecaster in the loop 
","Harris, Michael J.",2014-09,"Over the past 20 years, there have been many advancements in the process of weather. Specific contributions to improvements in the forecast process come from improvements in numerical model forecast guidance and the timely ..."
73,"The introduction of appreciative inquiry to the U.S. Navy using appreciative inquiry interviews and the large group intervention with applications to U.S. Marine Corps Logistics Strategic Management 
","Tripp, Paul B.; Zipsie, Mark W.",2002-03,This thesis documents the introduction of the Appreciative Inquiry (AI) within the U.S. Navy and discusses applications of the Appreciative Inquiry based Large Group Intervention (AI-LGI) within Marine Corps Logistics ...
74,"Experimentally determined effects of educator geometry on the performance of exhaust gas eductors for gas turbine powered ships. 
","Harrell, John Peter Jr.",1977-09,"Cold flow model tests of exhaust gas eductors with
constant area mixing stacks were conducted to evaluate the
effects of geometric configuration on eductor performance.
Single-nozzle and four -nozzle designs were tested. ..."
75,"A method of correlating forced convection boiling heat transfer data. 
","Hall, Garry R.",1977,no description
76,"Marine steam condenser design using numerical optimization 
","Johnson, Charles Michael",1977-12,"Two separate computer codes were coup led with a constrained function minimization code to 
produce automated marine condenser design and optimization programs of vastly different complexity.  The first program, OPCODE1, ..."
77,"Business case analysis: Continuous Integrated Logistics Support-Targeted Allowance Technique (CILS-TAT) 
","Arnold, Thomas E.; Bannister, Anthony P.; Jones, Daniel T.",2013-06,"In this research, we examine the Naval Sea Logistics Commands Continuous Integrated Logistics SupportTargeted Allowancing Technique (CILSTAT) and the feasibility of program re-implementation. We conduct an analysis of this ..."
78,"Analysis of light armored vehicle depot level maintenance 
","Mullins, Michael; Adams, Troy; Simms, Robert",2005-12,An analysis of Light Armored Vehicle (LAV) Depot Level Maintenance is conducted to examine the scheduled maintenance cycle and processes in order to determine potential inefficiencies related to cost or time.  Performance ...
79,"Analysis and application of an underwater optical-ranging system 
","Kusters, John Gerald.",1992,no description
80,"Analysis of the ship ops model's accuracy in predicting U.S. Naval ship operating cost 
","Hascall, Andrew M.; Matthews, Andrew M.; Gyarmati, Mihaly; Gantt, William K.; Hajdu, Zsolt",2003-06,The purpose of this MBA Project was to investigate and provide a comprehensive analysis of the accuracy of the Ship Ops model used by the US Navy to budget for ship-operating costs. This project was conducted with the ...
81,"Analysis of navy joint contingency contracting 
","Garcia, Michael J.; LaRose, Curt R.",2011-12,"At the turn of the century and with the end of the cold war traditional twentieth century combat methods underwent a radical change. Armies no longer faced off over strategic pieces of land, but fought asymmetrical battles ..."
82,"Implementing coordinative acquisition as a viable streamlined acquisition process in the Department of Defense (DoD): will contractors participate? 
","Froemke, Charles B.; Tanner, Jerry M.",2006-12,"The purpose of this MBA Project is to discuss the use of the coordinative acquisition tool, which supports Defense  Acquisition Performance Assessment (DAPA) recommendations calling for more streamlined acquisition ..."
83,"Establishing the role, functions and importance of program managers and program management teams in the Armed Forces of the Philippines modernization program acquisition process : a comparative analysis with US DoD system 
","Tingabngab, Alfred Kenneth; Cacanindin, Dennis A.",2003-03,"This research identifies the Acquisition Process of the Armed Forces of the Philippines (AFP) Modernization Program, particularly the role, functions and importance of Program Managers (PM) and Program Management Teams ..."
84,"A unique prototyping concept for missile and aviation weapon systems 
","Chronister, Ronald E.",2002-12,This thesis is a case study into the development of a unique prototyping concept to support aviation and missile weapon system requirements. The U.S. Army Aviation and Missile Command has an electrical and mechanical ...
85,"Investigation of the stress corrosion cracking susceptibility of annealed and heat treated alloy 625 castings and forgings in sea water 
","Jones, Eric Merwin",1987-06,"Alloy 625, the nickel based superalloy commonly called
Inconel* 625, was investigated for its susceptibility to
stress corrosion cracking in sea water using the slow strain
rate tensile test method. Four microstructures ..."
86,"United States Marine Corps career designation board: significant factors in predicting selection 
","Garza, Raul P.",2014-03,"The United State Marine Corps (USMC) re-implemented the competitive Career Designation (CD) board starting in FY 2010 to select and retain the most competitive junior officers. From 2010 to 2013, 4,723 out of 6,732 officers ..."
87,"Intellectual capital 
","Fondo, Clint B.; Wright, Darren B.",2004-12,The purpose of this MBA Project was to investigate and provide a comprehensive overview of the historical and current efforts directed at valuing intellectual capital (IC). This project was conducted with the sponsorship ...
88,"United States Navy contracting officer warranting process 
","Cowans, Mark A.; Kremer, Matthew D.",2011-03,"The purpose of this project was to investigate how Navy contracting activities warrant the contracting officers under their purview. The FAR and DAWIA establishes minimum training, education, and experience requirements ..."
89,"Assessment of disaster relief preparedness capabilities networks in the EUCOM, PACOM, and SOUTHCOM areas of responsibility 
","Earnest, Steven; Smith, Michael R.; Stark, Grant",2014-12,Prior MBA projects have analyzed the capabilities of various in-theater non-government organizations (NGOs) and their interactive efforts with the U.S. military toward rapid and effective humanitarian assistance and disaster ...
90,"Training for success: a comparison of anti-fraud knowledge competencies 
","Gaffney, Mercedes M.; Essex, Nicholas R.",2014-12,The United States Air Force (USAF) spends billions of dollars each year on procurement contracts ranging from simple services to major weapons systems acquisitions. While procurement spending provides the USAF with access ...
91,"The history of the Defense (DoD) civilian personnel system: the conversion from General Service (GS) to National Security Personnel System (NSPS) and then back to General Service 
","Clark, Inganita M.; Whitman, Akindallis T.",2011-06,The purpose of this Joint Applied Project (JAP) is to examine and provide a thorough overview of the history of the Defense's (DoD) civilian personnel system. The research will explore converting civil servants from the ...
92,"An analysis of closed-loop detailing in the naval helicopter community 
","Crawford, Earl A.",2014-03,The growing need for special operations forces (SOF) aviation assets creates a requirement for specially trained rotary-wing pilots. The purpose of this research is to determine the effects of retaining specifically qualified ...
93,"Are we using legislation to Its fullest potential?: an in-depth look at simplified acquisitions in the Marine Corps 
","Gillespie, Laurie A.",2005-12,"The purpose of this MBA Project was to investigate and provide a comprehensive overview of the history of simplified acquisitions, to build a model for theoretical potential of use, and then to compare what is currently ..."
94,"Sea water air conditioning (SWAC) at Naval Base Guam: cost-beneit analysis and acquisition strategy 
","Crisson, Kevin; Grammar, Jason; Leestma, Peter",2014-12,"The purposes of this research are to determine whether it is financially feasible and attractive to install sea water air conditioning (SWAC) at Naval Base (NB) Guam, which the Naval Facilities Engineering Command currently ..."
95,"An analysis of Navy Nurse Corps accession sources 
","Harvie, Christopher L.",2014-03,This study analyzes the various Navy Nurse Corps (NC) accession sources for associated costs and retention rates for cohorts accessed between FY00 and FY13. Individual NC accessions data were obtained from the Bureau of ...
96,"Analysis of jet-crossflow interactions application to ship bow thrusters. 
","Waterman, Bradford Bates",1980,no description
97,"Doctrine and elements of a successful coin mentorship protégé program 
","Dunn, Walter H., III",2014-03,"This thesis analyzes the design and effect of Mentor-Prot_g_ Programs (MPPs) used in contingency contracting to achieve security and stability, the two objectives of counterinsurgency (COIN) strategy. It clarifies COIN ..."
98,"Study of gas turbine advances and possible marine applications. 
","Brady, Carl Owen",1971,no description
99,"MARINE CORPS OFFICER ATTITUDES TOWARD THE REPEAL OF ""DON'T ASK, DON'T TELL"" 
","Callahan, Grant W.; Paffenroth, James D.",2013-03,"""Don't Ask, Don't Tell"" (DADT) prohibited gays from serving openly in the military from December 1993 to September 2011. The present study, conducted over one year after DADTs repeal, utilized a survey of attitudes toward ..."
100,"Capital budgeting: do private sector methods of budgeting for capital assets have applicability to the Department of Defense 
","Donohue, Sean; Downing, Lina M.",2005-12,"The purpose of this MBA Project is to identify the capital budgeting methods of both the private sector and the Department of  Defense. Additionally, the purpose is to evaluate the strengths and weaknesses of each capital ..."
101,"Hydrokinetic propulsion drives: a feasibility study. 
","Jenkins, Thomas Hunter.",1973,no description
102,"Improving the signal for U.S. Navy officer productivity 
","Ellison, Joshua C.",2014-12,The U.S. Navy’s answer for many future manpower and financial policy questions rests on the ability of the individual performance appraisal system to optimally signal officer productivity. This paper utilizes the economics ...
103,"LEADING FACTORS DETERMINING LATERAL TRANSFER SUCCESS 
","Dailey, Ryan T.",2013-03,This study examines the characteristics of officers applying to and being selected by lateral transfer boards using biannual redesignation data from November 2010 through November 2012. The lateral transfer board reviews ...
104,"Pressure field due to unsteady loading of a marine propeller. 
","D'Almeida, Jorge Rogue de.",1971,no description
105,"Preliminary design of an alternative fuels combined cycle propulsion plant for naval ship applications 
","Burgamy, Kirk Steven",1981-05,"A preliminary design of a coal burning 25,000
H? naval ship propulsion plant was completed. The system consists
of a combined Closed Brayton cycle and bottoming RarJcine
cycle. Coal combustion capability is achieved by ..."
106,"Narrow beam echo sounds. 
","Pfingstag, William C.",1971,no description
107,"A further development of the Massachusetts Institute of Technology computer aided design executive system. 
","Stone, David Lee.",1982,no description
108,"An assessment of external organizational marketing at NADEP North Island 
","Christman, Steven R.",2005-12,The purpose of this project is to assess the competitive position of the Naval Aviation Depot at North Island (NADEP North Island) within the defense aircraft repair and re-work industry and offer recommendations for an ...
109,"Too good to be used: analyzing utilization of the test program for certain commercial items in the Air Force 
","Fleharty, Matthew J.; Sharkey, John J., Jr.",2014-12,The purpose of this project is to analyze the Air Force’s usage rate of the Federal Acquisition Regulation (FAR) Subpart 13.5 Test Program for Certain Commercial Items. FAR 13.500(b) requires contracting officers to maximize ...
110,"Business case analysis of comprehensive maritime awareness 
","Cornes, Jeffrey B.; Sego, Jon C.; Ryan, David H.",2006-12,This research project develops a business case analysis model to evaluate the costs and benefits of utilizing the Comprehensive Maritime Awareness (CMA) system within the DoD. The business case analysis  model was developed ...
111,"Enhancing the enhanced scenario-based method of cost risk analysis 
","Hooper, Seth T.",2011-12,"The current S-Curve method of cost risk analysis for major DON acquisitions projects does not accurately estimate actual cost when the program reaches Full Rate Production. Another, sometimes more effective method of ..."
112,"Direct digital control of a marine diesel propulsion plant. 
","Bowman, Peter Bruce.",1973,no description
113,"Techniques and benefits of shaping the pulses of binary sequences with application to spread spectrum radio communications. 
","Mavranganis, Panayiotis G.",1979-03,"This research is concerned with binary sequences. Such
two-level voltage waveforms are used in some types of spread
spectrum systems. Of interest in this work is the effect
of shaping the normally rectangular pulses of ..."
114,"A spread spectrum communication technique 
","Cocci, James Alfred.",1973-09,A practical solution to the problem of realizing a signal processing method for a covert voice communications system was the objective of the thesis.  Spread spectrum technology in the form of Golay complimentary sequences ...
115,"Thermal analysis and design of air cooled electronic circuit boards using a desktop computer. 
","Foltz, Ricky Allen",1980-06,"A thermal design procedure for air cooled electronic circuit boards has been developed for the Hewlett-Packard Model 9845 desktop computer.  The system of interactive programs, called THERMELEX, performs thermal analysis ..."
